keyword,tweet
gojek,"@Ordinaryjhonny asliiii, aku awalnya pake gojek terus kok lumayan ongkirnya hampir seharga makanan, akhirnya nyoba download grab buat bandingin
eh malah 2x lipat lebih mahal😭
skrg beralih ke sopifud👍🏻"
gojek,@Ordinaryjhonny lebih menarik UI/UX nya gojek kak 😀
gojek,Bahkan kadang harga makanan lbh murah lewat shopipud daripada beli langsung. Grab gojek jarang ada diskon
gojek,akhirnya tadi aku dpt gojek yg enak (nyetirnya gak bikin kayak mau jatoh 😭😭 + diajak ngobrol seru)
gojek,@DuckyduckYeah @AdelaideCh_ Abang2 gojek yg helm nya ad bebekny tar gwe panggil juga tuhh beraaggg
gojek,"jangahblupa hari ini dari diskesal kan trus ke kemhan trus daerah monas macet karena ditunggu bgt buat ttd kontrak dan posisi dah jam 4 sore, akhirnya cegat abang gojek biar cepet wkwkwk gua ni kerja apasi sbnrnya jirrr🫠🫠🫠 https://t.co/UA5e02WU6k"
gojek,@arifmuharram @gojekindonesia Tapi emg gojek masukin motor lebar yg listrik kok mas. Kasian yg make itu dicancelin mulu kalo gatau
gojek,"Poin 4 itu gw dukung banget,,, tapi tolonglah Gojek,,, gw order Comfort maunya dapet minimal Vario 160,,, yang dateng malah motor listrik,,, Gw akhirnya muter jauh karena gak tega motor listrik gw ajak nanjak dengan badan gw yang lebar ini"
gojek,"pernah mintol bang gojek comfort tunggu bentar krn ada barang ketinggalan jd nunggu temen di lift, abangnya kasih tau kl ada countdown kl gasalah sekitar 15 mins??? cmiiw, lewat dari itu di cancel (?) mungkin itu https://t.co/a6vuMvIcU5"
gojek,"Sebelnya lagi, langganan gojek plus tp promonya lebih gacor temen gw yg gk berlangganan. Terkhianati 💔💔💔 langsung gw unsub"
gojek,"@Ordinaryjhonny Untung-untungan kaak, soalnya waktu itu pernah bandingin malah lebih murah grab atau gojek."
gojek,"Gue selalu berusaha ga pernah biarin abang gojek/gocar/gosend nungguin gw, selalu gw usahain standby sepersekian detik nungguin mereka datang."
gojek,Apakah gw harus gojek jir
gojek,@Cetepbebek kak paket hemat itu hak kakak. itu program yg ditawarkan gojek untuk menarik banyak pelanggan. dapet pelayanan yang baik itu hak kamu.
gojek,"@Ordinaryjhonny Iya, emang. Jujur aja gua jarang bgt pake gojek/grab karena jarang dapet promo"
gojek,@aishiteRIE2124 Emng bedanya gojek hemat sm biasa apa kak? Dpt potongan harga?
gojek,@Ordinaryjhonny Tergantung sih. Kalau lg banyak promo grab/gojek sering murah jg kom
gojek,"@kegblgnunfaedh Kan bisa di reimburse ke gojek pak.. tinggal lapor itu fiktif, lalu makanannya bpk makan, uang kembali"
gojek,WUOH LONGLONG GOJEK KAMBEK
gojek,"@adnardn @keqayaan Kak sorry tapi menurutku tetep ga etis untuk driver gojek nunggu🥲, jadi emg better udah siap baru pesen sih"
gojek,@aishiteRIE2124 Semoga abang drivernya ga dikasih sangsi apa2 sama gojek
gojek,"@Ordinaryjhonny BENARRRR ☝🏻😭 sejak ada sopifud lebih suka pake sopifud, gojek buat antar-jemput ajaa"
gojek,"@adnardn @McDuckiing Cancel ada di fitur goride juga, jadi terserah usernya mau dipake apa gak, ga suka fiturnya? Ngomong ke gojek lah jgn ngadu ke sosmed🤣"
gojek,"STUJUUUUU, dulu aku selalu pake gofood tp gatau knp makin lama makin gaib promonya jir alhasil pindah ke shopeefood yg ternyata JAUH lebih murah. bahkan klo nyimpen uang dan transaksi skrg pake shopeepay trs, udh ga prnh pake gopay lg, paling dipake klo pas mau gojek/gocar doang"
